Employee_ID,Employee_Name,Gender,Date_of_Birth,Location,Department,Cost_Center,Job_Title,Grade,Employment_Type,Work_Mode,Hire_Date,Exit_Date,Employment_Status,Manager_ID,FTE,Education,Prior_Experience_Years,Recruitment_Source,Critical_Role
E00025,Employee 25,Male,1987-10-25,Chennai,Customer Success,CC700,Customer Success Manager,G3,Contract,Hybrid,2018-11-14,,Active,E01832,1.0,Master's,13,Agency,No
E00026,Employee 26,Male,1987-04-10,Bengaluru,Supply Chain,CC800,Logistics Manager,G4,Permanent,Hybrid,2018-01-24,2025-04-26,Exited,E04248,1.0,MBA,11,Agency,No
E00027,Employee 27,Male,1986-03-20,Noida,Operations,CC300,Operations Analyst,G4,Contract,Hybrid,2021-03-18,,Active,,1.0,M.Tech,16,Job Portal,No
E00028,Employee 28,Female,1990-03-28,Chennai,Supply Chain,CC800,Supply Chain Analyst,G5,Permanent,Hybrid,2026-02-01,,Active,,1.0,B.Tech,14,Internal Mobility,Yes
E00029,Employee 29,Male,1999-01-20,Hyderabad,Human Resources,CC500,HR Executive,G4,Permanent,Hybrid,2020-03-23,2024-04-22,Exited,E02487,1.0,MBA,14,Referral,No
E00030,Employee 30,Female,1982-04-27,Pune,Finance,CC400,Finance Analyst,G5,Permanent,Remote,2017-02-10,2026-07-04,Exited,E04725,1.0,B.Tech,14,Agency,No
E00031,Employee 31,Male,1985-05-22,Hyderabad,Marketing,CC600,Digital Marketing Analyst,G3,Permanent,Hybrid,2026-07-30,,Active,E03734,1.0,B.Tech,12,Campus,Yes
E00032,Employee 32,Male,2000-08-03,Mumbai,Sales,CC200,Sales Analyst,G2,Permanent,Hybrid,2021-09-24,,Active,E02493,1.0,B.Tech,13,Campus,No
E00033,Employee 33,Female,2000-10-17,Hyderabad,Supply Chain,CC800,Procurement Specialist,G3,Contract,Hybrid,2024-01-04,,Active,,0.5,M.Tech,13,Agency,No
E00034,Employee 34,Male,1986-01-24,Pune,Human Resources,CC500,HR Executive,G2,Permanent,Remote,2022-07-01,,Active,E02609,1.0,PhD,14,LinkedIn,No
E00035,Employee 35,Female,1995-09-27,Chennai,Sales,CC200,Key Account Manager,G1,Permanent,Remote,2021-04-27,,Active,E04802,1.0,MBA,12,Internal Mobility,Yes
E00036,Employee 36,Female,2003-06-15,Noida,Customer Success,CC700,Customer Success Executive,G4,Permanent,Hybrid,2025-01-08,,Active,,1.0,M.Tech,17,Internal Mobility,Yes
E00037,Employee 37,Female,1991-10-16,Hyderabad,Finance,CC400,Finance Manager,G4,Intern,Hybrid,2021-11-11,,Active,,1.0,Bachelor's,12,Agency,No
E00038,Employee 38,Male,1982-09-28,Gurugram,Human Resources,CC500,HR Manager,G4,Permanent,Onsite,2024-07-17,,Active,,1.0,M.Tech,11,LinkedIn,No
E00039,Employee 39,Male,1997-01-12,Gurugram,Human Resources,CC500,L&D Specialist,G5,Permanent,Hybrid,2022-06-30,2024-10-12,Exited,E01778,1.0,Bachelor's,10,Campus,Yes
E00040,Employee 40,Male,1982-04-29,Bengaluru,Marketing,CC600,Product Marketing Manager,G2,Permanent,Hybrid,2026-04-09,,Active,E04163,1.0,Bachelor's,12,Job Portal,No
E00041,Employee 41,Female,1976-04-13,Mumbai,Technology,CC100,Senior Software Engineer,G6,Permanent,Onsite,2018-02-23,,Active,,1.0,B.Tech,12,Referral,Yes
E00042,Employee 42,Male,1984-02-02,Bengaluru,Finance,CC400,Senior Finance Analyst,G3,Permanent,Hybrid,2025-09-11,2026-04-23,Exited,E00722,1.0,MBA,10,Company Website,No
E00043,Employee 43,Female,1987-10-19,Hyderabad,Supply Chain,CC800,Supply Chain Analyst,G1,Permanent,Hybrid,2026-06-10,,Active,E02406,1.0,Bachelor's,11,Internal Mobility,No
E00044,Employee 44,Female,1997-09-02,Hyderabad,Supply Chain,CC800,Planner,G2,Permanent,Onsite,2024-10-06,,Active,,1.0,M.Tech,15,Agency,No
E00045,Employee 45,Male,1977-09-30,Bengaluru,Customer Success,CC700,Customer Success Executive,G5,Intern,Hybrid,2021-06-04,,Active,,0.5,B.Tech,2,Company Website,No
E00046,Employee 46,Male,1983-02-19,Gurugram,Human Resources,CC500,HR Business Partner,G4,Permanent,Hybrid,2020-07-30,,Active,,1.0,Bachelor's,5,LinkedIn,No
E00047,Employee 47,Male,1993-07-01,Pune,Technology,CC100,Senior Software Engineer,G3,Permanent,Hybrid,2019-11-21,,Active,,1.0,PhD,18,Company Website,No
E00048,Employee 48,Male,1985-08-17,Gurugram,Sales,CC200,Key Account Manager,G2,Permanent,Hybrid,2024-12-27,,Active,E01886,1.0,PhD,7,Referral,No
E00049,Employee 49,Female,1993-04-30,Bengaluru,Marketing,CC600,Product Marketing Manager,G4,Intern,Hybrid,2019-05-26,,Active,,1.0,Master's,11,Campus,Yes
E00050,Employee 50,Male,1989-09-08,Pune,Customer Success,CC700,Support Analyst,G4,Permanent,Hybrid,2022-10-07,,Active,,1.0,PhD,3,Job Portal,No
E00051,Employee 51,Male,1992-12-27,Hyderabad,Customer Success,CC700,Customer Success Executive,G3,Permanent,Remote,2020-06-21,,Active,E03058,1.0,M.Tech,16,LinkedIn,Yes
E00052,Employee 52,Male,2001-05-02,Chennai,Finance,CC400,Finance Manager,G4,Contract,Onsite,2024-01-04,,Active,,0.75,M.Tech,9,LinkedIn,No
E00053,Employee 53,Female,1998-03-23,Bengaluru,Finance,CC400,Finance Analyst,G6,Contract,Remote,2022-05-28,,Active,,1.0,Bachelor's,12,Company Website,No
E00054,Employee 54,Female,2001-10-12,Pune,Customer Success,CC700,Customer Success Manager,G4,Permanent,Onsite,2023-10-08,2025-04-22,Exited,E02483,1.0,B.Tech,12,LinkedIn,No
E00055,Employee 55,Female,1996-06-22,Pune,Finance,CC400,Finance Analyst,G3,Permanent,Onsite,2024-12-22,,Active,E02516,1.0,PhD,5,Referral,No
E00056,Employee 56,Male,1994-07-29,Pune,Finance,CC400,Finance Manager,G2,Permanent,Onsite,2018-09-23,,Active,E04072,1.0,Master's,8,Referral,No
E00057,Employee 57,Female,1984-05-20,Hyderabad,Finance,CC400,Finance Manager,G2,Permanent,Hybrid,2020-10-17,,Active,E01569,1.0,PhD,0,Internal Mobility,No
E00058,Employee 58,Female,1983-06-28,Mumbai,Finance,CC400,Finance Analyst,G1,Permanent,Hybrid,2023-04-17,,Active,E00253,1.0,MBA,14,Internal Mobility,No
E00059,Employee 59,Male,1981-12-27,Gurugram,Technology,CC100,Data Analyst,G5,Permanent,Hybrid,2026-01-17,,Active,,1.0,MBA,10,Campus,No
E00060,Employee 60,Male,1993-05-09,Mumbai,Customer Success,CC700,Support Analyst,G3,Permanent,Hybrid,2024-05-06,,Active,E00223,1.0,B.Tech,13,Campus,No
E00061,Employee 61,Male,1989-01-19,Hyderabad,Finance,CC400,Finance Manager,G3,Permanent,Hybrid,2017-05-26,,Active,E01388,1.0,Bachelor's,6,Referral,No
E00062,Employee 62,Female,1977-03-24,Hyderabad,Operations,CC300,Team Lead,G4,Permanent,Hybrid,2017-03-05,2022-10-29,Exited,E03006,1.0,Master's,10,LinkedIn,Yes
E00063,Employee 63,Female,1996-01-06,Noida,Sales,CC200,Sales Analyst,G4,Permanent,Hybrid,2023-12-08,,Active,,1.0,PhD,8,Referral,Yes
E00064,Employee 64,Male,2000-05-09,Chennai,Operations,CC300,Operations Executive,G2,Permanent,Onsite,2024-02-13,,Active,E02964,1.0,PhD,6,LinkedIn,Yes
E00065,Employee 65,Female,1988-07-02,Chennai,Human Resources,CC500,HR Executive,G4,Permanent,Hybrid,2019-08-25,2019-11-30,Exited,,1.0,B.Tech,0,Campus,No
E00066,Employee 66,Female,1978-03-18,Hyderabad,Marketing,CC600,Marketing Executive,G5,Permanent,Onsite,2019-04-18,,Active,,1.0,M.Tech,5,Job Portal,No
E00067,Employee 67,Male,1990-11-17,Mumbai,Technology,CC100,Software Engineer,G1,Permanent,Hybrid,2020-03-14,,Active,E04354,1.0,PhD,7,Campus,No
E00068,Employee 68,Male,1974-12-06,Noida,Customer Success,CC700,Customer Success Manager,G2,Contract,Onsite,2017-04-10,2025-05-22,Exited,E01230,1.0,Master's,2,LinkedIn,No
E00069,Employee 69,Non-binary,1997-07-09,Hyderabad,Technology,CC100,Senior Software Engineer,G5,Permanent,Hybrid,2020-12-07,,Active,,1.0,Bachelor's,11,Company Website,Yes
E00070,Employee 70,Male,2005-07-13,Bengaluru,Supply Chain,CC800,Supply Chain Analyst,G3,Contract,Hybrid,2026-07-31,,Active,E03449,0.5,MBA,7,LinkedIn,No
E00071,Employee 71,Male,1995-03-12,Gurugram,Sales,CC200,Regional Sales Manager,G2,Permanent,Hybrid,2018-08-02,,Active,E04679,1.0,Bachelor's,14,LinkedIn,No
E00072,Employee 72,Male,1985-04-11,Pune,Customer Success,CC700,Support Analyst,G3,Permanent,Hybrid,2025-06-09,,Active,E00346,1.0,B.Tech,11,LinkedIn,No
E00073,Employee 73,Female,1975-07-13,Hyderabad,Human Resources,CC500,HR Business Partner,G4,Permanent,Hybrid,2018-04-11,2018-08-12,Exited,E03453,1.0,B.Tech,10,Campus,Yes
E00074,Employee 74,Male,1986-08-23,Bengaluru,Supply Chain,CC800,Supply Chain Analyst,G4,Permanent,Hybrid,2023-08-20,,Active,,1.0,PhD,1,LinkedIn,No
E00075,Employee 75,Female,1987-12-28,Pune,Customer Success,CC700,Customer Success Manager,G1,Permanent,Hybrid,2024-02-19,,Active,E02109,1.0,Master's,5,Referral,No
E00076,Employee 76,Male,1993-05-18,Mumbai,Sales,CC200,Sales Analyst,G3,Permanent,Remote,2026-05-21,,Active,E00397,1.0,Bachelor's,13,Job Portal,No
E00077,Employee 77,Female,1981-07-18,Bengaluru,Human Resources,CC500,HR Executive,G3,Permanent,Hybrid,2023-10-01,,Active,E02505,1.0,PhD,13,Agency,No
E00078,Employee 78,Male,1981-05-28,Hyderabad,Technology,CC100,Data Scientist,G3,Permanent,Hybrid,2017-10-05,,Active,E02209,1.0,M.Tech,15,Company Website,Yes
E00079,Employee 79,Female,1979-01-11,Hyderabad,Customer Success,CC700,Customer Success Manager,G3,Permanent,Hybrid,2017-08-17,,Active,E00589,1.0,Bachelor's,18,Job Portal,Yes
E00080,Employee 80,Male,1998-06-30,Hyderabad,Supply Chain,CC800,Logistics Manager,G3,Permanent,Hybrid,2020-09-29,,Active,E03187,1.0,MBA,18,LinkedIn,No
E00081,Employee 81,Male,2000-05-01,Hyderabad,Technology,CC100,Tech Lead,G3,Permanent,Hybrid,2023-11-18,,Active,E03271,1.0,M.Tech,9,LinkedIn,Yes
E00082,Employee 82,Male,1980-05-30,Bengaluru,Sales,CC200,Regional Sales Manager,G2,Permanent,Hybrid,2023-07-24,2024-11-10,Exited,E04086,1.0,M.Tech,0,Agency,No
E00083,Employee 83,Female,1991-10-06,Pune,Customer Success,CC700,Support Analyst,G3,Permanent,Hybrid,2018-05-15,,Active,E02279,1.0,PhD,2,Agency,No
E00084,Employee 84,Female,2003-03-26,Hyderabad,Operations,CC300,Operations Executive,G1,Permanent,Hybrid,2024-11-26,,Active,E04383,1.0,Bachelor's,16,Referral,No
E00085,Employee 85,Male,1982-11-13,Gurugram,Technology,CC100,Tech Lead,G3,Intern,Hybrid,2021-08-22,,Active,E01803,0.75,Bachelor's,2,Referral,No
E00086,Employee 86,Male,1989-10-05,Gurugram,Operations,CC300,Operations Manager,G2,Permanent,Remote,2026-03-07,,Active,E01699,1.0,Master's,13,Company Website,No
E00087,Employee 87,Male,2003-01-06,Pune,Operations,CC300,Operations Manager,G4,Permanent,Remote,2024-06-20,,Active,,1.0,PhD,1,Job Portal,No
E00088,Employee 88,Male,1985-10-16,Hyderabad,Marketing,CC600,Product Marketing Manager,G4,Contract,Hybrid,2021-04-13,,Active,,1.0,Bachelor's,4,Referral,No
E00089,Employee 89,Female,1987-10-02,Chennai,Finance,CC400,Finance Manager,G3,Permanent,Onsite,2017-09-01,,Active,E04651,1.0,Master's,8,Agency,No
E00090,Employee 90,Male,1998-04-13,Bengaluru,Customer Success,CC700,Customer Success Manager,G4,Permanent,Onsite,2020-03-17,,Active,,1.0,Bachelor's,10,Internal Mobility,No
E00091,Employee 91,Female,1996-04-19,Hyderabad,Human Resources,CC500,HR Executive,G2,Permanent,Hybrid,2023-12-18,,Active,E00814,1.0,MBA,14,LinkedIn,Yes
E00092,Employee 92,Male,1996-10-30,Mumbai,Customer Success,CC700,Support Analyst,G5,Intern,Onsite,2023-12-07,,Active,,0.5,M.Tech,8,Agency,No
E00093,Employee 93,Female,1977-05-31,Mumbai,Operations,CC300,Operations Analyst,G3,Permanent,Onsite,2020-07-17,,Active,E00178,1.0,MBA,10,Referral,Yes
E00094,Employee 94,Male,1978-07-15,Mumbai,Marketing,CC600,Product Marketing Manager,G1,Permanent,Hybrid,2021-11-11,,Active,E02933,1.0,M.Tech,10,Campus,No
E00095,Employee 95,Male,1984-12-21,Bengaluru,Technology,CC100,Engineering Manager,G5,Permanent,Remote,2026-01-06,,Active,,1.0,MBA,0,LinkedIn,No
E00096,Employee 96,Female,1997-08-20,Gurugram,Customer Success,CC700,Support Analyst,G3,Permanent,Hybrid,2024-04-12,,Active,E04060,1.0,Bachelor's,13,Referral,Yes
E00097,Employee 97,Female,1978-09-26,Mumbai,Marketing,CC600,Brand Manager,G4,Permanent,Hybrid,2019-08-16,2020-04-29,Exited,E04748,1.0,B.Tech,5,Agency,Yes
E00098,Employee 98,Female,1988-06-26,Bengaluru,Sales,CC200,Sales Executive,G3,Contract,Hybrid,2022-09-08,2026-03-03,Exited,E00991,0.75,Master's,7,Internal Mobility,Yes
E00099,Employee 99,Female,1983-10-25,Mumbai,Human Resources,CC500,Talent Acquisition Specialist,G2,Permanent,Hybrid,2026-05-17,,Active,E03697,1.0,PhD,14,Campus,No
E00100,Employee 100,Female,1994-06-12,Gurugram,Human Resources,CC500,HR Executive,G4,Permanent,Onsite,2018-02-06,,Active,,1.0,MBA,4,Campus,No
E00101,Employee 101,Male,1986-12-17,Noida,Technology,CC100,Tech Lead,G3,Permanent,Hybrid,2026-07-31,,Active,E00325,1.0,Master's,7,Job Portal,No
E00102,Employee 102,Female,1998-02-21,Hyderabad,Customer Success,CC700,Customer Success Manager,G3,Permanent,Hybrid,2021-02-22,2023-01-23,Exited,E00595,1.0,Bachelor's,3,Company Website,No
E00103,Employee 103,Female,1979-06-12,Pune,Sales,CC200,Sales Analyst,G6,Permanent,Hybrid,2019-04-14,,Active,,1.0,MBA,18,Campus,No
E00104,Employee 104,Female,1982-12-19,Bengaluru,Finance,CC400,Senior Finance Analyst,G2,Permanent,Hybrid,2017-11-28,,Active,E03946,1.0,M.Tech,3,Campus,No
E00105,Employee 105,Male,1996-04-16,Bengaluru,Supply Chain,CC800,Planner,G2,Permanent,Hybrid,2023-08-04,,Active,E04717,1.0,M.Tech,1,Company Website,No
E00106,Employee 106,Female,1995-08-23,Bengaluru,Operations,CC300,Operations Analyst,G1,Permanent,Hybrid,2021-07-10,,Active,E03263,1.0,B.Tech,18,Job Portal,No
E00107,Employee 107,Female,1987-03-25,Noida,Technology,CC100,Engineering Manager,G1,Permanent,Onsite,2021-09-19,2025-08-28,Exited,E00022,1.0,Master's,4,Agency,No
E00108,Employee 108,Male,1977-12-03,Bengaluru,Sales,CC200,Sales Executive,G3,Permanent,Onsite,2018-04-12,2020-10-07,Exited,E02156,1.0,Master's,5,LinkedIn,No
E00109,Employee 109,Male,1988-01-18,Mumbai,Sales,CC200,Regional Sales Manager,G2,Permanent,Remote,2017-08-23,,Active,E02371,1.0,MBA,17,Campus,No
E00110,Employee 110,Female,1978-12-09,Mumbai,Human Resources,CC500,Talent Acquisition Specialist,G4,Contract,Remote,2019-11-04,,Active,,1.0,Bachelor's,4,LinkedIn,No
E00111,Employee 111,Female,1996-04-16,Chennai,Operations,CC300,Team Lead,G1,Permanent,Hybrid,2017-04-21,,Active,E04459,1.0,Bachelor's,13,LinkedIn,No
E00112,Employee 112,Male,1995-07-27,Hyderabad,Finance,CC400,Finance Manager,G3,Permanent,Hybrid,2018-09-03,,Active,E03625,1.0,MBA,16,Agency,No
E00113,Employee 113,Female,1990-06-24,Gurugram,Supply Chain,CC800,Supply Chain Analyst,G2,Permanent,Hybrid,2023-02-20,,Active,E00593,1.0,PhD,17,Referral,No
E00114,Employee 114,Female,1984-05-28,Bengaluru,Operations,CC300,Team Lead,G4,Permanent,Hybrid,2019-05-02,2020-10-20,Exited,E04629,1.0,Master's,2,Job Portal,Yes
E00115,Employee 115,Male,1985-05-09,Pune,Operations,CC300,Team Lead,G1,Permanent,Hybrid,2019-11-09,2022-03-02,Exited,E01007,1.0,PhD,16,Campus,No
E00116,Employee 116,Female,1973-08-28,Pune,Supply Chain,CC800,Logistics Manager,G3,Permanent,Hybrid,2018-07-15,,Active,E00713,1.0,MBA,0,Agency,No
E00117,Employee 117,Female,1987-11-17,Gurugram,Sales,CC200,Sales Analyst,G2,Permanent,Hybrid,2021-09-17,,Active,E03484,1.0,B.Tech,0,Company Website,No
E00118,Employee 118,Male,1982-08-16,Mumbai,Technology,CC100,Data Analyst,G2,Permanent,Remote,2022-07-15,,Active,E00589,1.0,Bachelor's,7,Internal Mobility,No
E00119,Employee 119,Male,1981-09-15,Pune,Human Resources,CC500,L&D Specialist,G3,Permanent,Hybrid,2025-05-06,,Active,E00152,1.0,MBA,10,Agency,No
E00120,Employee 120,Female,1978-08-20,Noida,Customer Success,CC700,Customer Success Manager,G6,Permanent,Hybrid,2020-07-15,,Active,,1.0,B.Tech,11,LinkedIn,No
E00121,Employee 121,Male,1975-11-25,Bengaluru,Customer Success,CC700,Customer Success Manager,G1,Permanent,Hybrid,2020-03-14,,Active,E01051,1.0,M.Tech,16,Campus,No
E00122,Employee 122,Female,1994-12-04,Gurugram,Operations,CC300,Operations Manager,G4,Contract,Hybrid,2026-06-14,,Active,,0.5,MBA,11,Agency,No
E00123,Employee 123,Male,1976-03-09,Bengaluru,Human Resources,CC500,HR Manager,G2,Permanent,Hybrid,2019-11-20,,Active,E02978,1.0,M.Tech,1,Company Website,No
E00124,Employee 124,Female,1998-01-22,Chennai,Marketing,CC600,Marketing Executive,G2,Permanent,Onsite,2022-11-03,,Active,,1.0,M.Tech,0,LinkedIn,No
E00125,Employee 125,Female,2003-05-12,Hyderabad,Sales,CC200,Account Manager,G1,Permanent,Hybrid,2025-06-05,,Active,E01642,1.0,MBA,16,Job Portal,No
E00126,Employee 126,Female,1997-03-06,Hyderabad,Technology,CC100,Tech Lead,G1,Permanent,Hybrid,2021-02-28,2025-02-26,Exited,E02128,1.0,B.Tech,18,LinkedIn,No
E00127,Employee 127,Female,1992-09-24,Hyderabad,Human Resources,CC500,HR Business Partner,G2,Permanent,Hybrid,2018-11-08,,Active,E00459,1.0,Bachelor's,2,Internal Mobility,No
E00128,Employee 128,Female,1974-07-11,Pune,Human Resources,CC500,HR Manager,G6,Permanent,Hybrid,2017-04-04,,Active,,1.0,B.Tech,3,Referral,No
E00129,Employee 129,Female,1975-10-03,Hyderabad,Technology,CC100,Data Analyst,G3,Permanent,Hybrid,2017-04-04,2019-03-09,Exited,E01934,1.0,Master's,3,Job Portal,No
E00130,Employee 130,Male,1979-04-22,Bengaluru,Supply Chain,CC800,Supply Chain Analyst,G4,Contract,Hybrid,2021-05-05,2022-12-23,Exited,E04947,0.75,MBA,16,Agency,No
E00131,Employee 131,Male,2001-10-08,Hyderabad,Marketing,CC600,Brand Manager,G6,Contract,Onsite,2024-05-10,,Active,,0.5,PhD,13,Agency,No
E00132,Employee 132,Male,1978-01-20,Noida,Supply Chain,CC800,Planner,G2,Permanent,Remote,2021-11-18,,Active,E01715,1.0,MBA,13,Campus,No
E00133,Employee 133,Female,1976-11-22,Gurugram,Operations,CC300,Operations Executive,G3,Permanent,Hybrid,2018-05-03,2024-03-18,Exited,E04262,1.0,Master's,0,Job Portal,No
E00134,Employee 134,Male,1988-04-02,Noida,Supply Chain,CC800,Planner,G2,Permanent,Remote,2023-04-14,,Active,E04644,1.0,B.Tech,8,Job Portal,No
E00135,Employee 135,Male,1988-09-16,Noida,Supply Chain,CC800,Logistics Manager,G3,Permanent,Hybrid,2020-05-16,,Active,E04055,1.0,Bachelor's,5,Campus,No
E00136,Employee 136,Male,1998-12-01,Bengaluru,Operations,CC300,Team Lead,G5,Permanent,Hybrid,2024-03-09,,Active,,1.0,B.Tech,17,Job Portal,No
E00137,Employee 137,Male,1998-06-17,Chennai,Supply Chain,CC800,Logistics Manager,G2,Permanent,Hybrid,2022-07-06,,Active,E04289,1.0,MBA,13,LinkedIn,No
E00138,Employee 138,Female,1994-03-05,Chennai,Finance,CC400,Senior Finance Analyst,G6,Permanent,Hybrid,2025-07-26,,Active,,1.0,PhD,18,Referral,Yes
E00139,Employee 139,Female,1985-04-02,Hyderabad,Human Resources,CC500,HR Executive,G4,Contract,Hybrid,2018-04-09,,Active,,0.75,Master's,8,LinkedIn,No
E00140,Employee 140,Female,1990-01-18,Mumbai,Customer Success,CC700,Customer Success Executive,G3,Permanent,Hybrid,2021-09-19,,Active,E03394,1.0,PhD,12,LinkedIn,No
E00141,Employee 141,Female,1996-02-25,Chennai,Human Resources,CC500,Talent Acquisition Specialist,G5,Contract,Onsite,2020-01-03,2023-06-28,Exited,E03575,0.75,Bachelor's,12,Internal Mobility,No
E00142,Employee 142,Female,1985-01-02,Chennai,Technology,CC100,Senior Software Engineer,G2,Contract,Hybrid,2021-05-02,,Active,E01506,0.75,M.Tech,5,Internal Mobility,No
E00143,Employee 143,Male,1992-05-30,Hyderabad,Finance,CC400,Finance Analyst,G3,Permanent,Hybrid,2021-07-22,2023-02-16,Exited,E00396,1.0,MBA,0,Campus,No
E00144,Employee 144,Female,1986-09-18,Chennai,Supply Chain,CC800,Supply Chain Analyst,G5,Permanent,Hybrid,2018-02-14,,Active,,1.0,Master's,3,Internal Mobility,No
E00145,Employee 145,Male,1994-03-10,Chennai,Sales,CC200,Account Manager,G3,Permanent,Remote,2017-08-16,,Active,E03263,1.0,Bachelor's,0,Campus,Yes
E00146,Employee 146,Male,1983-02-25,Bengaluru,Finance,CC400,Finance Manager,G4,Permanent,Onsite,2019-04-23,,Active,,1.0,Master's,9,Job Portal,No
E00147,Employee 147,Male,1974-10-20,Hyderabad,Marketing,CC600,Marketing Executive,G4,Permanent,Onsite,2017-09-30,,Active,,1.0,Bachelor's,11,Referral,No
E00148,Employee 148,Female,1976-12-04,Noida,Sales,CC200,Regional Sales Manager,G3,Permanent,Onsite,2020-11-12,,Active,E02987,1.0,B.Tech,1,Internal Mobility,No
E00149,Employee 149,Female,2005-03-08,Pune,Technology,CC100,Engineering Manager,G2,Permanent,Onsite,2026-08-24,,Active,E03469,1.0,MBA,3,Agency,No
E00150,Employee 150,Male,1999-01-20,Pune,Human Resources,CC500,HR Manager,G4,Permanent,Onsite,2025-02-22,,Active,,1.0,Bachelor's,12,Internal Mobility,No
E00151,Employee 151,Female,2002-05-09,Mumbai,Sales,CC200,Account Manager,G3,Permanent,Onsite,2025-01-12,,Active,E00452,1.0,Master's,11,Internal Mobility,Yes
