Date,Month,SKU,Product,Category,Region,Customer,Supplier ID,Supplier,Demand,Forecast,Opening Inventory,Closing Inventory,Safety Stock,Lead Time (Days),Order Qty,Delivered Qty,Requested Date,Delivery Date,OTIF,Stockout,Unit Cost (INR),Selling Price (INR),Inventory Value (INR)
2026-07-22,Jul-2026,SKU-127,Lubrication Kit 1,Consumables,North,NorthStar Automation,SUP-G,Global Motion,156,186,339,320,93,26,148,148,2026-08-01,2026-08-09,No,No,1477.53,2227.24,472809.75
2026-02-13,Feb-2026,SKU-105,Industrial Sensor 1,Critical Components,East,Orion Industries,SUP-C,Crest Global,106,75,48,22,24,30,130,130,2026-02-23,2026-03-03,No,Yes,59002.0,89913.54,1298044.04
2026-03-04,Mar-2026,SKU-106,Industrial Sensor 2,Critical Components,South,Deccan Industries,SUP-F,Fusion Tech,118,95,115,94,30,22,109,109,2026-03-09,2026-03-09,Yes,Yes,35617.53,52768.49,3348047.93
2026-02-17,Feb-2026,SKU-112,Drive Belt 2,Standard Components,North,NorthStar Automation,SUP-D,Delta Engineering,127,127,209,183,35,24,133,133,2026-03-01,2026-03-12,No,No,3349.41,4416.94,612942.37
2026-04-23,Apr-2026,SKU-117,CNC Control Unit 1,Premium Equipment,South,TechFab Systems,SUP-D,Delta Engineering,84,83,138,119,31,22,96,96,2026-05-02,2026-05-02,Yes,No,56012.25,82721.28,6665457.24
2026-01-17,Jan-2026,SKU-132,Coolant Module 2,Consumables,West,Vertex Engineering,SUP-D,Delta Engineering,192,193,382,344,96,17,190,190,2026-01-22,2026-01-22,Yes,No,1223.63,1611.99,420927.64
2026-07-15,Jul-2026,SKU-127,Lubrication Kit 1,Consumables,North,Delhi Industrial Systems,SUP-F,Fusion Tech,108,111,218,196,55,26,116,116,2026-07-25,2026-08-02,No,No,4842.66,7065.4,949161.52
2026-04-16,Apr-2026,SKU-124,Smart Drive 2,Premium Equipment,North,NorthStar Automation,SUP-A,Alpha Components,60,63,119,106,23,15,74,74,2026-04-26,2026-04-26,Yes,No,165529.36,251941.38,17546111.7
2026-03-02,Mar-2026,SKU-105,Industrial Sensor 1,Critical Components,East,Prime Industrial,SUP-G,Global Motion,113,109,152,131,34,23,122,109,2026-03-10,2026-03-13,No,No,36266.35,50709.92,4750892.38
2026-06-04,Jun-2026,SKU-110,Bearing Assembly 2,Standard Components,Central,Central Industrial Works,SUP-H,Horizon Parts,106,86,152,131,24,17,109,109,2026-06-12,2026-06-12,Yes,No,10385.32,13899.33,1360477.32
2026-04-16,Apr-2026,SKU-118,CNC Control Unit 2,Premium Equipment,North,Apex Engineering,SUP-H,Horizon Parts,68,71,66,52,26,13,79,79,2026-04-23,2026-04-27,No,Yes,80894.67,121908.23,4206522.91
2026-03-30,Mar-2026,SKU-110,Bearing Assembly 2,Standard Components,West,Western Manufacturing,SUP-E,Everest Components,191,181,269,231,50,18,192,192,2026-04-04,2026-04-04,Yes,No,11566.96,15124.63,2671968.37
2026-02-06,Feb-2026,SKU-127,Lubrication Kit 1,Consumables,East,Eastern Process Tech,SUP-H,Horizon Parts,192,214,436,409,107,15,196,173,2026-02-15,2026-02-15,No,No,2687.6,3887.38,1099228.85
2026-05-10,May-2026,SKU-129,Seal Pack 1,Consumables,North,Apex Engineering,SUP-F,Fusion Tech,226,237,524,482,118,23,240,226,2026-05-22,2026-05-22,No,No,3877.15,5853.11,1868786.73
2026-05-26,May-2026,SKU-114,Valve Kit 2,Standard Components,South,Southern Automation,SUP-G,Global Motion,150,166,241,213,46,17,167,167,2026-06-04,2026-06-04,Yes,No,13114.33,16402.95,2793351.85
2026-01-29,Jan-2026,SKU-124,Smart Drive 2,Premium Equipment,West,Western Manufacturing,SUP-F,Fusion Tech,52,46,35,22,17,26,69,66,2026-02-07,2026-02-07,No,Yes,81592.35,105580.57,1795031.72
2026-02-01,Feb-2026,SKU-123,Smart Drive 1,Premium Equipment,West,Vertex Engineering,SUP-B,Bharat Industrial,59,49,38,22,18,20,84,84,2026-02-10,2026-02-10,Yes,Yes,170192.19,217822.83,3744228.18
2026-02-10,Feb-2026,SKU-126,Filter Cartridge 2,Consumables,North,Apex Engineering,SUP-B,Bharat Industrial,236,235,501,452,117,18,245,245,2026-02-16,2026-02-19,No,No,2078.88,2990.35,939655.28
2026-05-09,May-2026,SKU-129,Seal Pack 1,Consumables,South,Southern Automation,SUP-B,Bharat Industrial,227,256,513,472,128,16,250,250,2026-05-14,2026-05-14,Yes,No,5243.02,7724.15,2474706.96
2026-07-19,Jul-2026,SKU-117,CNC Control Unit 1,Premium Equipment,South,Deccan Industries,SUP-A,Alpha Components,40,40,78,70,15,18,44,44,2026-07-29,2026-07-29,Yes,No,57342.69,86271.87,4013988.45
2026-06-01,Jun-2026,SKU-128,Lubrication Kit 2,Consumables,East,Prime Industrial,SUP-E,Everest Components,240,263,583,539,131,14,259,259,2026-06-11,2026-06-11,Yes,No,3262.62,4406.51,1758554.31
2026-03-25,Mar-2026,SKU-122,Vision Inspection Unit 2,Premium Equipment,North,Delhi Industrial Systems,SUP-B,Bharat Industrial,55,54,79,66,20,14,67,67,2026-04-01,2026-04-01,Yes,No,130299.87,187152.05,8599791.63
2026-02-19,Feb-2026,SKU-132,Coolant Module 2,Consumables,East,Prime Industrial,SUP-F,Fusion Tech,284,270,572,512,135,21,302,302,2026-02-28,2026-02-28,Yes,No,976.75,1310.49,500098.08
2026-03-19,Mar-2026,SKU-105,Industrial Sensor 1,Critical Components,West,Western Manufacturing,SUP-D,Delta Engineering,95,81,73,56,25,14,87,87,2026-03-27,2026-03-27,Yes,Yes,40354.56,61206.25,2259855.6
2026-04-02,Apr-2026,SKU-106,Industrial Sensor 2,Critical Components,East,Bengal Engineering,SUP-A,Alpha Components,103,55,54,31,17,11,116,116,2026-04-11,2026-04-11,Yes,Yes,54399.85,72375.42,1686395.2
2026-03-30,Mar-2026,SKU-107,Power Module 1,Critical Components,East,Prime Industrial,SUP-C,Crest Global,117,82,64,39,26,32,128,128,2026-04-06,2026-04-11,No,Yes,63481.74,97097.9,2475787.7
2026-03-25,Mar-2026,SKU-125,Filter Cartridge 1,Consumables,West,Vertex Engineering,SUP-C,Crest Global,202,178,343,298,89,26,225,225,2026-04-05,2026-04-05,Yes,No,2406.14,3543.84,717030.32
2026-02-23,Feb-2026,SKU-115,Connector Set 1,Standard Components,Central,Vindhya Engineering,SUP-B,Bharat Industrial,157,188,266,240,52,14,180,180,2026-03-05,2026-03-05,Yes,No,9368.33,13571.33,2248400.18
2026-06-13,Jun-2026,SKU-111,Drive Belt 1,Standard Components,West,Western Manufacturing,SUP-G,Global Motion,129,147,204,181,41,23,147,147,2026-06-21,2026-06-21,Yes,No,7893.68,12097.48,1428755.98
2026-04-27,Apr-2026,SKU-130,Seal Pack 2,Consumables,West,Metro Automation,SUP-G,Global Motion,331,342,706,642,171,19,337,337,2026-05-09,2026-05-09,Yes,No,4800.48,6308.17,3081908.43
2026-07-19,Jul-2026,SKU-111,Drive Belt 1,Standard Components,South,Southern Automation,SUP-G,Global Motion,219,250,319,287,70,21,210,210,2026-07-30,2026-07-30,Yes,No,13937.04,21284.27,3999930.92
2026-08-07,Aug-2026,SKU-122,Vision Inspection Unit 2,Premium Equipment,West,Gujarat Process Systems,SUP-A,Alpha Components,45,54,71,61,20,15,65,65,2026-08-12,2026-08-12,Yes,No,73689.95,104708.3,4495087.09
2026-04-23,Apr-2026,SKU-108,Power Module 2,Critical Components,West,Gujarat Process Systems,SUP-C,Crest Global,146,130,117,91,41,27,143,134,2026-04-28,2026-05-08,No,Yes,29371.09,38164.39,2672769.4
2026-04-21,Apr-2026,SKU-112,Drive Belt 2,Standard Components,West,Western Manufacturing,SUP-F,Fusion Tech,217,230,325,281,64,12,242,242,2026-05-03,2026-05-03,Yes,No,6792.98,8438.88,1908826.66
2026-03-07,Mar-2026,SKU-107,Power Module 1,Critical Components,West,Vertex Engineering,SUP-B,Bharat Industrial,108,101,78,55,32,14,127,119,2026-03-14,2026-03-16,No,Yes,51654.12,76503.16,2840976.47
2026-08-19,Aug-2026,SKU-103,Precision Gearbox 1,Critical Components,South,TechFab Systems,SUP-C,Crest Global,130,110,150,124,35,26,132,132,2026-08-24,2026-08-30,No,No,30841.18,42101.7,3824306.38
2026-04-13,Apr-2026,SKU-122,Vision Inspection Unit 2,Premium Equipment,Central,Narmada Systems,SUP-H,Horizon Parts,46,53,89,79,20,17,63,63,2026-04-20,2026-04-20,Yes,No,137614.9,195256.99,10871577.31
2026-04-24,Apr-2026,SKU-111,Drive Belt 1,Standard Components,West,Vertex Engineering,SUP-H,Horizon Parts,246,261,429,384,73,11,253,253,2026-04-29,2026-04-29,Yes,No,6678.08,10246.98,2564381.95
2026-02-10,Feb-2026,SKU-129,Seal Pack 1,Consumables,North,Apex Engineering,SUP-D,Delta Engineering,245,236,512,464,118,19,263,243,2026-02-16,2026-02-16,No,No,1973.17,2481.15,915553.09
2026-07-12,Jul-2026,SKU-112,Drive Belt 2,Standard Components,East,Prime Industrial,SUP-B,Bharat Industrial,154,168,262,234,47,8,162,162,2026-07-24,2026-07-24,Yes,No,3351.6,5191.95,784274.04
2026-07-31,Jul-2026,SKU-121,Vision Inspection Unit 1,Premium Equipment,West,Western Manufacturing,SUP-E,Everest Components,70,59,45,31,22,15,71,71,2026-08-08,2026-08-08,Yes,Yes,153796.63,215750.08,4767695.61
2026-04-09,Apr-2026,SKU-130,Seal Pack 2,Consumables,West,Gujarat Process Systems,SUP-B,Bharat Industrial,290,327,663,614,163,17,306,306,2026-04-15,2026-04-15,Yes,No,3231.59,4079.4,1984197.52
2026-08-05,Aug-2026,SKU-112,Drive Belt 2,Standard Components,West,Gujarat Process Systems,SUP-G,Global Motion,78,77,88,71,21,20,87,87,2026-08-15,2026-08-19,No,No,13320.4,17352.48,945748.16
2026-06-16,Jun-2026,SKU-118,CNC Control Unit 2,Premium Equipment,North,Horizon Machines,SUP-B,Bharat Industrial,49,48,69,61,18,22,41,41,2026-06-21,2026-06-21,Yes,No,88081.99,124090.37,5373001.3
2026-06-12,Jun-2026,SKU-102,Servo Controller 2,Critical Components,East,Orion Industries,SUP-E,Everest Components,108,101,88,63,32,18,127,127,2026-06-17,2026-06-17,Yes,Yes,37534.22,56462.36,2364655.99
2026-03-27,Mar-2026,SKU-123,Smart Drive 1,Premium Equipment,Central,Vindhya Engineering,SUP-F,Fusion Tech,55,54,92,78,20,21,73,73,2026-04-02,2026-04-02,Yes,No,107266.84,162805.6,8366813.75
2026-08-01,Aug-2026,SKU-121,Vision Inspection Unit 1,Premium Equipment,Central,CoreTech Manufacturing,SUP-D,Delta Engineering,52,44,64,52,16,16,61,61,2026-08-07,2026-08-16,No,No,127918.01,167936.86,6651736.73
2026-06-06,Jun-2026,SKU-131,Coolant Module 1,Consumables,South,Deccan Industries,SUP-B,Bharat Industrial,140,165,312,290,82,17,153,153,2026-06-11,2026-06-11,Yes,No,3170.0,4667.04,919300.29
2026-03-17,Mar-2026,SKU-108,Power Module 2,Critical Components,North,Apex Engineering,SUP-C,Crest Global,128,97,91,61,31,33,150,150,2026-03-22,2026-03-22,Yes,Yes,24440.71,34707.42,1490883.28
2026-05-16,May-2026,SKU-109,Bearing Assembly 1,Standard Components,South,TechFab Systems,SUP-C,Crest Global,135,148,188,163,41,29,157,148,2026-05-25,2026-05-25,No,No,6309.26,8337.89,1028408.62
2026-08-23,Aug-2026,SKU-102,Servo Controller 2,Critical Components,East,Orion Industries,SUP-H,Horizon Parts,108,72,62,37,23,13,128,128,2026-09-03,2026-09-03,Yes,Yes,49994.16,61305.31,1849784.07
2026-03-26,Mar-2026,SKU-127,Lubrication Kit 1,Consumables,North,Delhi Industrial Systems,SUP-G,Global Motion,179,192,409,378,96,14,177,177,2026-04-05,2026-04-13,No,No,5086.98,6780.79,1922879.78
2026-04-05,Apr-2026,SKU-117,CNC Control Unit 1,Premium Equipment,East,Bengal Engineering,SUP-D,Delta Engineering,59,64,77,65,24,27,67,67,2026-04-17,2026-04-17,Yes,No,154425.67,194610.08,10037668.52
2026-06-27,Jun-2026,SKU-125,Filter Cartridge 1,Consumables,Central,Narmada Systems,SUP-F,Fusion Tech,305,310,666,607,155,20,300,300,2026-07-09,2026-07-09,Yes,No,2074.32,2915.39,1259114.54
2026-03-15,Mar-2026,SKU-109,Bearing Assembly 1,Standard Components,North,Delhi Industrial Systems,SUP-D,Delta Engineering,250,270,399,352,75,21,266,266,2026-03-27,2026-03-27,Yes,No,2559.59,3466.4,900974.5
2026-08-18,Aug-2026,SKU-131,Coolant Module 1,Consumables,East,Bengal Engineering,SUP-E,Everest Components,170,210,435,414,105,18,174,174,2026-08-23,2026-08-23,Yes,No,5122.28,7934.76,2120625.42
2026-04-16,Apr-2026,SKU-132,Coolant Module 2,Consumables,North,Horizon Machines,SUP-A,Alpha Components,308,335,737,685,167,25,327,309,2026-04-28,2026-05-01,No,No,1329.44,1693.21,910666.25
2026-05-02,May-2026,SKU-117,CNC Control Unit 1,Premium Equipment,West,Western Manufacturing,SUP-F,Fusion Tech,64,54,69,54,20,21,79,79,2026-05-12,2026-05-12,Yes,No,72576.48,94484.1,3919130.16
2026-03-12,Mar-2026,SKU-125,Filter Cartridge 1,Consumables,North,Horizon Machines,SUP-F,Fusion Tech,219,276,581,558,138,27,212,212,2026-03-24,2026-03-24,Yes,No,4106.72,5431.64,2291548.68
2026-02-04,Feb-2026,SKU-119,Robotic Arm Module 1,Premium Equipment,South,Southern Automation,SUP-D,Delta Engineering,72,69,122,105,26,11,85,85,2026-02-16,2026-02-16,Yes,No,150232.45,212822.11,15774407.51
2026-07-25,Jul-2026,SKU-106,Industrial Sensor 2,Critical Components,East,Orion Industries,SUP-A,Alpha Components,96,81,78,54,25,12,120,120,2026-08-04,2026-08-12,No,Yes,23463.28,32576.98,1267017.18
2026-07-31,Jul-2026,SKU-104,Precision Gearbox 2,Critical Components,South,Kaveri Engineering,SUP-C,Crest Global,128,115,92,64,36,28,143,143,2026-08-05,2026-08-15,No,Yes,21432.39,26573.68,1371672.81
2026-08-21,Aug-2026,SKU-105,Industrial Sensor 1,Critical Components,Central,Narmada Systems,SUP-A,Alpha Components,65,62,10,0,19,16,81,81,2026-09-01,2026-09-01,Yes,Yes,61104.41,92182.28,0.0
2026-02-08,Feb-2026,SKU-123,Smart Drive 1,Premium Equipment,North,NorthStar Automation,SUP-C,Crest Global,57,52,78,64,19,30,76,71,2026-02-19,2026-02-23,No,No,78560.06,115688.46,5027843.61
2026-01-13,Jan-2026,SKU-127,Lubrication Kit 1,Consumables,East,Eastern Process Tech,SUP-D,Delta Engineering,231,261,552,518,130,23,224,224,2026-01-18,2026-01-18,Yes,No,1065.29,1476.79,551818.65
2026-03-20,Mar-2026,SKU-115,Connector Set 1,Standard Components,West,Vertex Engineering,SUP-F,Fusion Tech,184,228,323,297,63,24,200,200,2026-03-25,2026-03-25,Yes,No,10954.94,15374.5,3253616.96
2026-01-17,Jan-2026,SKU-123,Smart Drive 1,Premium Equipment,Central,Narmada Systems,SUP-F,Fusion Tech,52,45,80,65,17,20,76,76,2026-01-25,2026-01-25,Yes,No,169342.65,260680.9,11007272.04
2026-05-27,May-2026,SKU-109,Bearing Assembly 1,Standard Components,South,TechFab Systems,SUP-D,Delta Engineering,164,170,248,213,47,17,188,188,2026-06-04,2026-06-04,Yes,No,9457.15,14048.92,2014372.66
2026-06-04,Jun-2026,SKU-114,Valve Kit 2,Standard Components,East,Orion Industries,SUP-E,Everest Components,174,173,227,193,48,24,171,171,2026-06-16,2026-06-16,Yes,No,10593.34,14048.18,2044514.37
2026-03-18,Mar-2026,SKU-125,Filter Cartridge 1,Consumables,East,Orion Industries,SUP-E,Everest Components,241,294,617,582,147,15,261,261,2026-03-28,2026-03-28,Yes,No,1839.99,2333.39,1070873.17
2026-03-12,Mar-2026,SKU-127,Lubrication Kit 1,Consumables,South,Southern Automation,SUP-F,Fusion Tech,252,311,676,643,155,21,263,263,2026-03-24,2026-04-04,No,No,2455.23,3108.78,1578711.6
2026-05-24,May-2026,SKU-132,Coolant Module 2,Consumables,North,Apex Engineering,SUP-A,Alpha Components,246,255,528,479,127,17,262,262,2026-06-01,2026-06-01,Yes,No,1084.12,1550.77,519291.35
2026-06-11,Jun-2026,SKU-131,Coolant Module 1,Consumables,West,Western Manufacturing,SUP-A,Alpha Components,180,189,399,367,94,20,204,179,2026-06-22,2026-06-22,No,No,1499.82,1924.77,550433.27
2026-05-19,May-2026,SKU-117,CNC Control Unit 1,Premium Equipment,West,Vertex Engineering,SUP-G,Global Motion,86,98,153,139,37,16,90,90,2026-05-25,2026-05-25,Yes,No,66687.56,93522.07,9269571.28
2026-01-19,Jan-2026,SKU-101,Servo Controller 1,Critical Components,West,Western Manufacturing,SUP-C,Crest Global,75,70,58,44,22,21,71,70,2026-01-27,2026-01-27,No,Yes,58801.49,73180.51,2587265.73
2026-08-29,Aug-2026,SKU-118,CNC Control Unit 2,Premium Equipment,Central,Central Industrial Works,SUP-C,Crest Global,58,55,76,63,20,30,73,66,2026-09-06,2026-09-06,No,No,122570.3,179457.13,7721929.14
